"gender","age","nsubj","trial_number","card_selected","rt_cardselection","win","loss","net_gain","totalcash_by_trial","confidence","rt_confidence","adv_choice","block"
"m",36,2,84,"C",599,50,0,50,3100,4,484,1,5
"m",36,2,85,"C",471,50,-25,25,3125,4,568,1,5
"m",36,2,86,"C",531,50,-25,25,3150,4,576,1,5
"m",36,2,87,"C",485,50,0,50,3200,4,561,1,5
"m",36,2,88,"C",553,50,-75,-25,3175,4,818,1,5
"m",36,2,89,"C",454,50,0,50,3225,4,562,1,5
"m",36,2,90,"C",486,50,-50,0,3225,4,521,1,5
"m",36,2,91,"C",591,50,-75,-25,3200,4,498,1,5
"m",36,2,92,"C",493,50,0,50,3250,4,571,1,5
"m",36,2,93,"C",505,50,0,50,3300,4,506,1,5
"m",36,2,94,"C",582,50,-50,0,3300,4,1703,1,5
"m",36,2,95,"C",1206,50,0,50,3350,4,649,1,5
"m",36,2,96,"C",839,50,-50,0,3350,4,563,1,5
"m",36,2,97,"C",464,50,0,50,3400,4,521,1,5
"m",36,2,98,"C",513,50,-50,0,3400,4,567,1,5
"m",36,2,99,"C",570,50,0,50,3450,4,473,1,5
"m",36,2,100,"C",483,50,-50,0,3450,4,1398,1,5
"f",54,3,1,"D",27657,50,0,50,2050,3,5670,1,1
"f",54,3,2,"B",10838,100,0,100,2150,4,6113,0,1
"f",54,3,3,"B",6692,100,0,100,2250,4,3676,0,1
"f",54,3,4,"A",5196,100,0,100,2350,4,5368,0,1
"f",54,3,5,"B",5652,100,0,100,2450,4,3884,0,1
"f",54,3,6,"D",3593,50,0,50,2500,4,6114,1,1
"f",54,3,7,"A",4290,100,0,100,2600,4,3765,0,1
"f",54,3,8,"A",4300,100,-150,-50,2550,4,3038,0,1
"f",54,3,9,"A",3966,100,0,100,2650,4,3531,0,1
"f",54,3,10,"A",3673,100,-300,-200,2450,4,3290,0,1
"f",54,3,11,"A",4157,100,0,100,2550,4,2796,0,1
"f",54,3,12,"A",5691,100,-200,-100,2450,4,4177,0,1
"f",54,3,13,"B",5157,100,0,100,2550,4,3360,0,1
"f",54,3,14,"B",3147,100,0,100,2650,4,2624,0,1
"f",54,3,15,"B",2381,100,0,100,2750,4,2735,0,1
"f",54,3,16,"B",2129,100,0,100,2850,4,3472,0,1
"f",54,3,17,"B",3180,100,0,100,2950,4,2886,0,1
"f",54,3,18,"B",6651,100,-1250,-1150,1800,4,3502,0,1
"f",54,3,19,"B",5965,100,0,100,1900,4,2695,0,1
"f",54,3,20,"B",2746,100,0,100,2000,4,3167,0,1
"f",54,3,21,"B",3239,100,0,100,2100,4,2815,0,2
"f",54,3,22,"B",4599,100,0,100,2200,4,4326,0,2
"f",54,3,23,"B",3049,100,-1250,-1150,1050,4,2753,0,2
"f",54,3,24,"D",2686,50,0,50,1100,4,2570,1,2
"f",54,3,25,"A",3120,100,0,100,1200,4,3691,0,2
"f",54,3,26,"A",2928,100,-250,-150,1050,4,3591,0,2
"f",54,3,27,"D",2616,50,0,50,1100,4,1968,1,2
"f",54,3,28,"C",3198,50,0,50,1150,4,2534,1,2
"f",54,3,29,"A",3118,100,-350,-250,900,4,3278,0,2
"f",54,3,30,"C",2836,50,0,50,950,4,2844,1,2
"f",54,3,31,"D",2363,50,0,50,1000,4,2271,1,2
"f",54,3,32,"D",3734,50,0,50,1050,4,2271,1,2
"f",54,3,33,"A",2983,100,0,100,1150,3,5406,0,2
"f",54,3,34,"C",2534,50,-50,0,1150,3,3308,1,2
"f",54,3,35,"D",2504,50,0,50,1200,4,1957,1,2
"f",54,3,36,"D",2846,50,0,50,1250,4,2219,1,2
"f",54,3,37,"B",3754,100,0,100,1350,3,3784,0,2
"f",54,3,38,"C",3341,50,0,50,1400,4,5089,1,2
"f",54,3,39,"C",4137,50,-50,0,1400,3,2967,1,2
"f",54,3,40,"D",3381,50,0,50,1450,4,2281,1,2
"f",54,3,41,"D",3300,50,-250,-200,1250,4,2684,1,3
"f",54,3,42,"A",2524,100,-350,-250,1000,4,4198,0,3
"f",54,3,43,"A",3300,100,0,100,1100,3,2985,0,3
"f",54,3,44,"B",3189,100,0,100,1200,4,3269,0,3
"f",54,3,45,"D",2583,50,0,50,1250,4,2482,1,3
"f",54,3,46,"D",3281,50,0,50,1300,4,2370,1,3
"f",54,3,47,"A",3007,100,-250,-150,1150,3,5762,0,3
"f",54,3,48,"A",3340,100,-200,-100,1050,4,2717,0,3
"f",54,3,49,"A",2524,100,0,100,1150,4,3924,0,3
"f",54,3,50,"A",2754,100,-300,-200,950,4,2996,0,3
"f",54,3,51,"D",3825,50,0,50,1000,4,2049,1,3
"f",54,3,52,"D",2888,50,0,50,1050,4,4853,1,3
"f",54,3,53,"C",7357,50,0,50,1100,3,2904,1,3
"f",54,3,54,"C",2533,50,-50,0,1100,3,2784,1,3
"f",54,3,55,"B",4349,100,0,100,1200,4,2916,0,3
"f",54,3,56,"A",3855,100,-150,-50,1150,4,3632,0,3
"f",54,3,57,"A",2585,100,0,100,1250,3,2339,0,3
"f",54,3,58,"B",3947,100,0,100,1350,3,2571,0,3
"f",54,3,59,"D",2000,50,0,50,1400,4,3855,1,3
"f",54,3,60,"B",3776,100,0,100,1500,3,2618,0,3
"f",54,3,61,"A",3149,100,0,100,1600,4,3259,0,4
"f",54,3,62,"D",2875,50,0,50,1650,4,3068,1,4
"f",54,3,63,"A",2614,100,0,100,1750,3,3815,0,4
"f",54,3,64,"C",2614,50,0,50,1800,4,2765,1,4
"f",54,3,65,"D",2704,50,0,50,1850,4,3280,1,4
"f",54,3,66,"B",3986,100,0,100,1950,3,2957,0,4
"f",54,3,67,"A",6883,100,-300,-200,1750,4,4753,0,4
"f",54,3,68,"B",4188,100,-1250,-1150,600,3,2633,0,4
"f",54,3,69,"C",3220,50,-50,0,600,4,2613,1,4
"f",54,3,70,"A",2524,100,0,100,700,2,4087,0,4
"f",54,3,71,"A",2837,100,-350,-250,450,3,4378,0,4
"f",54,3,72,"D",1737,50,0,50,500,4,1807,1,4
"f",54,3,73,"A",2615,100,0,100,600,3,2804,0,4
"f",54,3,74,"C",2999,50,-50,0,600,3,2248,1,4
"f",54,3,75,"D",2887,50,0,50,650,4,1896,1,4
"f",54,3,76,"A",4027,100,-200,-100,550,4,3419,0,4
"f",54,3,77,"D",2231,50,-250,-200,350,4,2169,1,4
"f",54,3,78,"C",2099,50,0,50,400,3,2662,1,4
